Formula,Name,Page number
CCl3I[g],TRICHLOROIODOMETHANE (GAS),240
CF[g],FLUOROMETHYLIDYNE (GAS),241
CF2[g],DIFLUOROMETHYLENE (GAS),242
CF3[g],TRIFLUOROMETHYL (GAS),243
CF4[g],TETRAFLUOROMETHANE (GAS),244
C2F[g],DICARBON FLUORIDE (GAS),245
C2F2[g],DIFLUOROACETYLENE (GAS),246
C2F3[g],DICARBON TRIFLUORIDE (GAS),247
C2F4[g],TETRAFLUOROETHENE (GAS),248
C2F5[g],PENTAFLUOROETHYL (GAS),249
C2F6[g],HEXAFLUOROETHANE (GAS),250
CFBr3[g],FLUOROTRIBROMOMETHANE (GAS),251
CF2Br2[g],DIFLUORODIBROMOMETHANE (GAS),252
CF3Br[g],TRIFLUOROBROMOMETHANE (GAS),253
CFBrI2[g],FLUOROBROMODIIODOMETHANE (GAS),254
CFBr2I[g],FLUORODIBROMOIODOMETHANE (GAS),255
CF2BrI[g],DIFLUOROBROMOIODOMETHANE (GAS),256
CFCl[g],FLUOROCHLOROMETHYLENE (GAS),257
CFCl2[g],FLUORODICHLOROMETHYL (GAS),258
CFCl3[g],FLUOROTRICHLOROMETHANE (GAS),259
CF2Cl[g],DIFLUOROCHLOROMETHYL (GAS),260
CF2Cl2[g],DIFLUORODICHLOROMETHANE (GAS),261
CF3Cl[g],TRIFLUOROCHLOROMETHANE (GAS),262
C2FCl[g],FLUOROCHLOROACETYLENE (GAS),263
C2FCl3[g],FLUOROTRICHLOROETHYLENE (GAS),264
C2F2Cl2[g],DIFLUORODICHLOROETHYLENE (GAS),265
"C2F2Cl2[1,1][g]"," 1,1-DIFLUORODICHLOROETHYLENE (GAS)",266
C2F2Cl2[cis][g],CIS-DIFLUORODICHLOROETHYLENE (GAS),267
C2F2Cl2[trans][g],TRANS-DIFLUORODICHLOROETHYLENE (GAS),268
C2F3Cl[g],TRIFLUOROCHLOROETHYLENE (GAS),269
CFClBr2[g],FLUOROCHLORODIBROMOMETHANE (GAS),270
CFCl2Br[g],FLUORODICHLOROBROMOMETHANE (GAS),271
CF2ClBr[g],DIFLUOROCHLOROBROMOMETHANE (GAS),272
CFCIBrI[g],FLUOROCHLOROBROMOIODOMETHANE (GAS),273
CFClI2[g],FLUOROCHLORODIIODOMETHANE (GAS),274
CFCl2I[g],FLUORODICHLOROIODOMETHANE (GAS),275
CF2ClI[g],DIFLUOROCHLOROIODOMETHANE (GAS),276
CFI3[g],FLUOROTRIIODOMETHANE (GAS),277
CF2I2[g],DIFLUORODIIODOMETHANE (GAS),278
CF3I[g],TRIFLUOROIODOMETHANE (GAS),279
CH[g],METHYLIDYNE (GAS),280
CH2[g],METHYLENE (GAS),281
CH3[g],METHYL (GAS),282
CH4[g],METHANE (GAS),283
C2H[g],DICARBON HYDRIDE (GAS),284
C2H2[g],ACETYLENE (GAS),285
C2H3[g],DICARBON TRIHYDRIDE (GAS),286
C2H4[g],ETHENE (GAS),287
C2H5[g],ETHYL (GAS),288
C2H6[g],ETHANE (GAS),289
C3H4[g],PROPADIENE (GAS),290
C3H4[PY][g],PROPYNE (GAS),290
C3H6[g],CYCLOPROPANE (GAS),291
C3H6[P][g],PROPENE (GAS),291
C3H8[g],PROPANE (GAS),292
